,case,cells,time_us,strategy,executor,julia_or_neon,threads,node,nnz,time_ms,ms_normed,us_normed,mean_normed,us_mean_normed,merged,bandwidth
0,LDC_N10,1000,147,Fused Face-Based,GPU,NeoN,1,gpu-nvidia-h100,6400.0,0.147,0.000147,0.147,0.000108,0.108,Fused Face-Based (NeoN),1.0448979591836736
1,LDC_N10,1000,108,Fused Face-Based,GPU,NeoN,1,gpu-nvidia-h100,6400.0,0.108,0.000108,0.108,0.000108,0.108,Fused Face-Based (NeoN),1.4222222222222225
2,LDC_N10,1000,104,Fused Face-Based,GPU,NeoN,1,gpu-nvidia-h100,6400.0,0.104,0.000104,0.104,0.000108,0.108,Fused Face-Based (NeoN),1.476923076923077
3,LDC_N10,1000,445,Cell-Based,GPU,NeoN,1,gpu-nvidia-h100,6400.0,0.445,0.000445,0.445,0.000426,0.426,Cell-Based (NeoN),0.3451685393258427
4,LDC_N10,1000,434,Cell-Based,GPU,NeoN,1,gpu-nvidia-h100,6400.0,0.434,0.000434,0.434,0.000426,0.426,Cell-Based (NeoN),0.3539170506912442
5,LDC_N10,1000,427,Cell-Based,GPU,NeoN,1,gpu-nvidia-h100,6400.0,0.427,0.0004269999999999,0.427,0.000426,0.426,Cell-Based (NeoN),0.3597189695550351
6,LDC_N10,1000,500,Face-Based,GPU,NeoN,1,gpu-nvidia-h100,6400.0,0.5,0.0005,0.5,0.000432,0.432,Face-Based (NeoN),0.3072
7,LDC_N10,1000,436,Face-Based,GPU,NeoN,1,gpu-nvidia-h100,6400.0,0.436,0.0004359999999999,0.436,0.000432,0.432,Face-Based (NeoN),0.3522935779816514
8,LDC_N10,1000,432,Face-Based,GPU,NeoN,1,gpu-nvidia-h100,6400.0,0.432,0.000432,0.432,0.000432,0.432,Face-Based (NeoN),0.3555555555555555
9,LDC_N10,1000,478,Face-Based,GPU,JuNe,1,gpu-nvidia-h100,6400.0,0.478,0.0004779999999999,0.478,0.000322,0.322,Face-Based (JuNe),0.3213389121338912
10,LDC_N10,1000,338,Face-Based,GPU,JuNe,1,gpu-nvidia-h100,6400.0,0.338,0.000338,0.338,0.000322,0.322,Face-Based (JuNe),0.4544378698224852
11,LDC_N10,1000,322,Face-Based,GPU,JuNe,1,gpu-nvidia-h100,6400.0,0.322,0.000322,0.322,0.000322,0.322,Face-Based (JuNe),0.4770186335403726
12,LDC_N10,1000,639,Cell-Based,GPU,JuNe,1,gpu-nvidia-h100,6400.0,0.639,0.000639,0.639,0.0005949999999999,0.595,Cell-Based (JuNe),0.2403755868544601
13,LDC_N10,1000,609,Cell-Based,GPU,JuNe,1,gpu-nvidia-h100,6400.0,0.609,0.000609,0.609,0.0005949999999999,0.595,Cell-Based (JuNe),0.2522167487684729
14,LDC_N10,1000,622,Cell-Based,GPU,JuNe,1,gpu-nvidia-h100,6400.0,0.622,0.000622,0.622,0.0005949999999999,0.595,Cell-Based (JuNe),0.2469453376205787
15,LDC_N20,8000,145,Fused Face-Based,GPU,NeoN,1,gpu-nvidia-h100,53600.0,0.145,1.8125e-05,0.018125,1.4125e-05,0.014125,Fused Face-Based (NeoN),8.871724137931034
16,LDC_N20,8000,112,Fused Face-Based,GPU,NeoN,1,gpu-nvidia-h100,53600.0,0.112,1.4e-05,0.014,1.4125e-05,0.014125,Fused Face-Based (NeoN),11.485714285714286
17,LDC_N20,8000,109,Fused Face-Based,GPU,NeoN,1,gpu-nvidia-h100,53600.0,0.109,1.3625e-05,0.013625,1.4125e-05,0.014125,Fused Face-Based (NeoN),11.801834862385322
