blocksize,workgroupsize,time
2,2,0.038375
2,4,0.023528
2,8,0.018619
2,16,0.017435
2,32,0.016664
2,64,0.016011
2,128,0.016081
2,256,0.016082
2,512,0.015663
2,1024,0.015261
4,2,0.036246
4,4,0.023994
4,8,0.018268
4,16,0.016221
4,32,0.015725
4,64,0.015149
4,128,0.015429
4,256,0.015678
4,512,0.015386
4,1024,0.015538
8,2,0.037377
8,4,0.024940
8,8,0.018912
8,16,0.016848
8,32,0.015676
8,64,0.015921
8,128,0.015766
8,256,0.015699
8,512,0.016184
8,1024,0.015838
16,2,0.038393
16,4,0.026157
16,8,0.020084
16,16,0.017079
16,32,0.015941
16,64,0.016484
16,128,0.016382
16,256,0.016490
16,512,0.016662
16,1024,0.016289
32,2,0.040218
32,4,0.027600
32,8,0.021220
32,16,0.017667
32,32,0.016419
32,64,0.016961
32,128,0.017347
32,256,0.017765
32,512,0.017094
32,1024,0.016604
64,2,0.040726
64,4,0.027759
64,8,0.021519
64,16,0.018066
64,32,0.016655
64,64,0.017337
64,128,0.017255
64,256,0.017652
64,512,0.017611
64,1024,0.017596
128,2,0.040914
128,4,0.027040
128,8,0.022111
128,16,0.018880
128,32,0.016588
128,64,0.016606
128,128,0.016952
128,256,0.017103
128,512,0.017250
128,1024,0.018023
256,2,0.040894
256,4,0.027446
256,8,0.022999
256,16,0.017609
256,32,0.016224
256,64,0.016430
256,128,0.016322
256,256,0.016589
256,512,0.017062
256,1024,0.016440
512,2,0.039711
512,4,0.029357
512,8,0.021828
512,16,0.020015
512,32,0.018640
512,64,0.019663
512,128,0.019666
512,256,0.019849
512,512,0.020145
512,1024,0.019361
1024,2,0.045065
1024,4,0.027456
1024,8,0.027549
1024,16,0.026054
1024,32,0.025639
1024,64,0.028268
1024,128,0.028564
1024,256,0.028285
1024,512,0.030404
1024,1024,0.030529
