blocksize,workgroupsize,time
2,2,0.067547
2,4,0.028276
2,8,0.020870
2,16,0.018512
2,32,0.016953
2,64,0.017096
2,128,0.017241
2,256,0.017067
2,512,0.017580
2,1024,0.017200
4,2,0.049882
4,4,0.029718
4,8,0.021023
4,16,0.017426
4,32,0.017946
4,64,0.016925
4,128,0.018259
4,256,0.017346
4,512,0.017281
4,1024,0.017191
8,2,0.048137
8,4,0.029626
8,8,0.021705
8,16,0.017939
8,32,0.017168
8,64,0.017619
8,128,0.017784
8,256,0.017819
8,512,0.017369
8,1024,0.017245
16,2,0.048910
16,4,0.030002
16,8,0.022698
16,16,0.018173
16,32,0.017564
16,64,0.018285
16,128,0.017834
16,256,0.017703
16,512,0.017670
16,1024,0.017479
32,2,0.049254
32,4,0.030857
32,8,0.022878
32,16,0.018947
32,32,0.017886
32,64,0.018147
32,128,0.018315
32,256,0.018136
32,512,0.017958
32,1024,0.017625
64,2,0.049670
64,4,0.032421
64,8,0.023212
64,16,0.019435
64,32,0.018658
64,64,0.019405
64,128,0.018431
64,256,0.018417
64,512,0.018215
64,1024,0.018356
128,2,0.051293
128,4,0.032814
128,8,0.022616
128,16,0.019852
128,32,0.018338
128,64,0.018176
128,128,0.018388
128,256,0.018334
128,512,0.018101
128,1024,0.017793
256,2,0.051845
256,4,0.031316
256,8,0.023067
256,16,0.019622
256,32,0.018070
256,64,0.017796
256,128,0.017660
256,256,0.017638
256,512,0.017829
256,1024,0.017454
512,2,0.050790
512,4,0.030752
512,8,0.022447
512,16,0.020573
512,32,0.019286
512,64,0.020654
512,128,0.020321
512,256,0.021034
512,512,0.021413
512,1024,0.020415
1024,2,0.049962
1024,4,0.030380
1024,8,0.029197
1024,16,0.026883
1024,32,0.026238
1024,64,0.028931
1024,128,0.028417
1024,256,0.028822
1024,512,0.030207
1024,1024,0.030173
