,strategy_full,threads,node,executor,bandwidth,bw_1,bw_serial,speedup,speedup_vs_serial_bandwidth
0,Cell-Based (JuNe),1,gpu-nvidia-h100,CPU,0.8184155687438979,0.8184155687438979,0.9118880496833234,1.0,0.8974956619160803
1,Cell-Based (JuNe),1,gpu-nvidia-h200,CPU,0.9648443089185315,0.9648443089185315,1.0792572837316006,1.0,0.8939891566749691
2,Cell-Based (JuNe),2,gpu-nvidia-h100,CPU,3.9344274577892175,0.8184155687438979,0.9118880496833234,4.807371228076424,4.31459482241877
3,Cell-Based (JuNe),2,gpu-nvidia-h200,CPU,10.912808508443163,0.9648443089185315,1.0792572837316006,11.310434655177728,10.111405939009682
4,Cell-Based (JuNe),4,gpu-nvidia-h100,CPU,5.932433724592222,0.8184155687438979,0.9118880496833234,7.248681417067012,6.505660126429349
5,Cell-Based (JuNe),4,gpu-nvidia-h200,CPU,17.45746179852919,0.9648443089185315,1.0792572837316006,18.0935531641336,16.175440334457516
6,Cell-Based (JuNe),8,gpu-nvidia-h100,CPU,9.02332838085701,0.8184155687438979,0.9118880496833234,11.025362573082512,9.895215080393468
7,Cell-Based (JuNe),8,gpu-nvidia-h200,CPU,23.417364764830758,0.9648443089185315,1.0792572837316006,24.270615008424173,21.697666643363974
8,Cell-Based (JuNe),16,gpu-nvidia-h100,CPU,12.372084318517341,0.8184155687438979,0.9118880496833234,15.117117502427263,13.56754737910412
9,Cell-Based (JuNe),16,gpu-nvidia-h200,CPU,26.70807275142949,0.9648443089185315,1.0792572837316006,27.68122535890362,24.746715314336015
10,Cell-Based (JuNe),32,gpu-nvidia-h100,CPU,14.964386797949608,0.8184155687438979,0.9118880496833234,18.284582270248,16.410333267495254
11,Cell-Based (JuNe),32,gpu-nvidia-h200,CPU,27.220267246561228,0.9648443089185315,1.0792572837316006,28.212082503830807,25.221295845644356
12,Cell-Based (JuNe),64,gpu-nvidia-h100,CPU,17.947880086839895,0.8184155687438979,0.9118880496833234,21.930032580375098,19.682109106564955
13,Cell-Based (JuNe),64,gpu-nvidia-h200,CPU,24.992694026204276,0.9648443089185315,1.0792572837316006,25.90334398532954,23.157308644506386
14,Cell-Based (JuNe),128,gpu-nvidia-h100,CPU,8.918764667815786,0.8184155687438979,0.9118880496833234,10.89759898080175,9.780547810570669
15,Cell-Based (JuNe),128,gpu-nvidia-h200,CPU,5.8185399810890885,0.9648443089185315,1.0792572837316006,6.030548065947486,5.391244579764259
16,Cell-Based (NeoN),1,gpu-nvidia-h100,CPU,1.7639559387309158,1.7639559387309158,0.9118880496833234,1.0,1.9343996659935339
17,Cell-Based (NeoN),1,gpu-nvidia-h200,CPU,3.964790417243614,3.964790417243614,1.0792572837316006,1.0,3.673628593485234
18,Cell-Based (NeoN),2,gpu-nvidia-h100,CPU,2.9324136403916428,1.7639559387309158,0.9118880496833234,1.662407532980318,3.215760576542262
19,Cell-Based (NeoN),2,gpu-nvidia-h200,CPU,7.428041603051245,3.964790417243614,1.0792572837316006,1.873501704086376,6.882549430075023
20,Cell-Based (NeoN),4,gpu-nvidia-h100,CPU,5.06527791721542,1.7639559387309158,0.9118880496833234,2.87154446774881,5.554714659298878
21,Cell-Based (NeoN),4,gpu-nvidia-h200,CPU,13.056883759376234,3.964790417243614,1.0792572837316006,3.293209069157706,12.09802700078264
22,Cell-Based (NeoN),8,gpu-nvidia-h100,CPU,9.35647477004428,1.7639559387309158,0.9118880496833234,5.304256509250354,10.260552019837913
23,Cell-Based (NeoN),8,gpu-nvidia-h200,CPU,22.182810708760954,3.964790417243614,1.0792572837316006,5.594951655523522,20.55377438089876
24,Cell-Based (NeoN),16,gpu-nvidia-h100,CPU,15.016066122745388,1.7639559387309158,0.9118880496833234,8.512721771014727,16.467006150546773
25,Cell-Based (NeoN),16,gpu-nvidia-h200,CPU,30.847485348030823,3.964790417243614,1.0792572837316006,7.78035711897137,28.582142379779622
