case,cells,time_ns,strategy,executor,julia_or_neon,threads,node,nnz
LDC_N10,1000,72,Fused Cell-Based,CPU,NeoN,1,gpu-nvidia-h200,6400
LDC_N10,1000,54,Fused Cell-Based,CPU,NeoN,1,gpu-nvidia-h200,6400
LDC_N10,1000,47,Fused Cell-Based,CPU,NeoN,1,gpu-nvidia-h200,6400
LDC_N10,1000,114,Cell-Based,CPU,NeoN,1,gpu-nvidia-h200,6400
LDC_N10,1000,83,Cell-Based,CPU,NeoN,1,gpu-nvidia-h200,6400
LDC_N10,1000,74,Cell-Based,CPU,NeoN,1,gpu-nvidia-h200,6400
LDC_N10,1000,364,Global Face-Based,CPU,NeoN,1,gpu-nvidia-h200,6400
LDC_N10,1000,224,Global Face-Based,CPU,NeoN,1,gpu-nvidia-h200,6400
LDC_N10,1000,212,Global Face-Based,CPU,NeoN,1,gpu-nvidia-h200,6400
LDC_N10,1000,752,Face-Based,CPU,JuNe,1,gpu-nvidia-h200,6400
LDC_N10,1000,384,Face-Based,CPU,JuNe,1,gpu-nvidia-h200,6400
LDC_N10,1000,348,Face-Based,CPU,JuNe,1,gpu-nvidia-h200,6400
LDC_N10,1000,439,Cell-Based,CPU,JuNe,1,gpu-nvidia-h200,6400
LDC_N10,1000,397,Cell-Based,CPU,JuNe,1,gpu-nvidia-h200,6400
LDC_N10,1000,396,Cell-Based,CPU,JuNe,1,gpu-nvidia-h200,6400
LDC_N10,1000,447,Global Face-Based,CPU,JuNe,1,gpu-nvidia-h200,6400
LDC_N10,1000,377,Global Face-Based,CPU,JuNe,1,gpu-nvidia-h200,6400
LDC_N10,1000,347,Global Face-Based,CPU,JuNe,1,gpu-nvidia-h200,6400
LDC_N10,1000,73,Fused Cell-Based,CPU,NeoN,2,gpu-nvidia-h200,6400
LDC_N10,1000,64,Fused Cell-Based,CPU,NeoN,2,gpu-nvidia-h200,6400
LDC_N10,1000,65,Fused Cell-Based,CPU,NeoN,2,gpu-nvidia-h200,6400
LDC_N10,1000,142,Cell-Based,CPU,NeoN,2,gpu-nvidia-h200,6400
LDC_N10,1000,134,Cell-Based,CPU,NeoN,2,gpu-nvidia-h200,6400
LDC_N10,1000,110,Cell-Based,CPU,NeoN,2,gpu-nvidia-h200,6400
LDC_N10,1000,301,Global Face-Based,CPU,NeoN,2,gpu-nvidia-h200,6400
LDC_N10,1000,199,Global Face-Based,CPU,NeoN,2,gpu-nvidia-h200,6400
LDC_N10,1000,196,Global Face-Based,CPU,NeoN,2,gpu-nvidia-h200,6400
LDC_N10,1000,559,Face-Based,CPU,JuNe,2,gpu-nvidia-h200,6400
LDC_N10,1000,234,Face-Based,CPU,JuNe,2,gpu-nvidia-h200,6400
LDC_N10,1000,233,Face-Based,CPU,JuNe,2,gpu-nvidia-h200,6400
LDC_N10,1000,239,Cell-Based,CPU,JuNe,2,gpu-nvidia-h200,6400
LDC_N10,1000,219,Cell-Based,CPU,JuNe,2,gpu-nvidia-h200,6400
LDC_N10,1000,213,Cell-Based,CPU,JuNe,2,gpu-nvidia-h200,6400
LDC_N10,1000,274,Global Face-Based,CPU,JuNe,2,gpu-nvidia-h200,6400
LDC_N10,1000,249,Global Face-Based,CPU,JuNe,2,gpu-nvidia-h200,6400
LDC_N10,1000,245,Global Face-Based,CPU,JuNe,2,gpu-nvidia-h200,6400
LDC_N10,1000,75,Fused Cell-Based,CPU,NeoN,4,gpu-nvidia-h200,6400
LDC_N10,1000,65,Fused Cell-Based,CPU,NeoN,4,gpu-nvidia-h200,6400
LDC_N10,1000,61,Fused Cell-Based,CPU,NeoN,4,gpu-nvidia-h200,6400
LDC_N10,1000,144,Cell-Based,CPU,NeoN,4,gpu-nvidia-h200,6400
LDC_N10,1000,121,Cell-Based,CPU,NeoN,4,gpu-nvidia-h200,6400
LDC_N10,1000,123,Cell-Based,CPU,NeoN,4,gpu-nvidia-h200,6400
LDC_N10,1000,311,Global Face-Based,CPU,NeoN,4,gpu-nvidia-h200,6400
LDC_N10,1000,175,Global Face-Based,CPU,NeoN,4,gpu-nvidia-h200,6400
LDC_N10,1000,173,Global Face-Based,CPU,NeoN,4,gpu-nvidia-h200,6400
LDC_N10,1000,541,Face-Based,CPU,JuNe,4,gpu-nvidia-h200,6400
LDC_N10,1000,223,Face-Based,CPU,JuNe,4,gpu-nvidia-h200,6400
LDC_N10,1000,220,Face-Based,CPU,JuNe,4,gpu-nvidia-h200,6400
LDC_N10,1000,238,Cell-Based,CPU,JuNe,4,gpu-nvidia-h200,6400
LDC_N10,1000,228,Cell-Based,CPU,JuNe,4,gpu-nvidia-h200,6400
LDC_N10,1000,221,Cell-Based,CPU,JuNe,4,gpu-nvidia-h200,6400
LDC_N10,1000,280,Global Face-Based,CPU,JuNe,4,gpu-nvidia-h200,6400
LDC_N10,1000,256,Global Face-Based,CPU,JuNe,4,gpu-nvidia-h200,6400
LDC_N10,1000,252,Global Face-Based,CPU,JuNe,4,gpu-nvidia-h200,6400
LDC_N10,1000,78,Fused Cell-Based,CPU,NeoN,8,gpu-nvidia-h200,6400
LDC_N10,1000,61,Fused Cell-Based,CPU,NeoN,8,gpu-nvidia-h200,6400
LDC_N10,1000,81,Fused Cell-Based,CPU,NeoN,8,gpu-nvidia-h200,6400
LDC_N10,1000,135,Cell-Based,CPU,NeoN,8,gpu-nvidia-h200,6400
LDC_N10,1000,128,Cell-Based,CPU,NeoN,8,gpu-nvidia-h200,6400
LDC_N10,1000,119,Cell-Based,CPU,NeoN,8,gpu-nvidia-h200,6400
LDC_N10,1000,254,Global Face-Based,CPU,NeoN,8,gpu-nvidia-h200,6400
LDC_N10,1000,150,Global Face-Based,CPU,NeoN,8,gpu-nvidia-h200,6400
LDC_N10,1000,144,Global Face-Based,CPU,NeoN,8,gpu-nvidia-h200,6400
LDC_N10,1000,606,Face-Based,CPU,JuNe,8,gpu-nvidia-h200,6400
LDC_N10,1000,211,Face-Based,CPU,JuNe,8,gpu-nvidia-h200,6400
LDC_N10,1000,199,Face-Based,CPU,JuNe,8,gpu-nvidia-h200,6400
LDC_N10,1000,239,Cell-Based,CPU,JuNe,8,gpu-nvidia-h200,6400
LDC_N10,1000,208,Cell-Based,CPU,JuNe,8,gpu-nvidia-h200,6400
LDC_N10,1000,206,Cell-Based,CPU,JuNe,8,gpu-nvidia-h200,6400
LDC_N10,1000,263,Global Face-Based,CPU,JuNe,8,gpu-nvidia-h200,6400
LDC_N10,1000,225,Global Face-Based,CPU,JuNe,8,gpu-nvidia-h200,6400
LDC_N10,1000,225,Global Face-Based,CPU,JuNe,8,gpu-nvidia-h200,6400
LDC_N10,1000,72,Fused Cell-Based,CPU,NeoN,16,gpu-nvidia-h200,6400
LDC_N10,1000,63,Fused Cell-Based,CPU,NeoN,16,gpu-nvidia-h200,6400
LDC_N10,1000,62,Fused Cell-Based,CPU,NeoN,16,gpu-nvidia-h200,6400
LDC_N10,1000,153,Cell-Based,CPU,NeoN,16,gpu-nvidia-h200,6400
LDC_N10,1000,128,Cell-Based,CPU,NeoN,16,gpu-nvidia-h200,6400
LDC_N10,1000,141,Cell-Based,CPU,NeoN,16,gpu-nvidia-h200,6400
LDC_N10,1000,300,Global Face-Based,CPU,NeoN,16,gpu-nvidia-h200,6400
LDC_N10,1000,154,Global Face-Based,CPU,NeoN,16,gpu-nvidia-h200,6400
LDC_N10,1000,152,Global Face-Based,CPU,NeoN,16,gpu-nvidia-h200,6400
LDC_N10,1000,568,Face-Based,CPU,JuNe,16,gpu-nvidia-h200,6400
LDC_N10,1000,185,Face-Based,CPU,JuNe,16,gpu-nvidia-h200,6400
LDC_N10,1000,184,Face-Based,CPU,JuNe,16,gpu-nvidia-h200,6400
LDC_N10,1000,239,Cell-Based,CPU,JuNe,16,gpu-nvidia-h200,6400
LDC_N10,1000,211,Cell-Based,CPU,JuNe,16,gpu-nvidia-h200,6400
LDC_N10,1000,203,Cell-Based,CPU,JuNe,16,gpu-nvidia-h200,6400
LDC_N10,1000,235,Global Face-Based,CPU,JuNe,16,gpu-nvidia-h200,6400
LDC_N10,1000,199,Global Face-Based,CPU,JuNe,16,gpu-nvidia-h200,6400
LDC_N10,1000,200,Global Face-Based,CPU,JuNe,16,gpu-nvidia-h200,6400
LDC_N10,1000,91,Fused Cell-Based,CPU,NeoN,32,gpu-nvidia-h200,6400
LDC_N10,1000,75,Fused Cell-Based,CPU,NeoN,32,gpu-nvidia-h200,6400
LDC_N10,1000,74,Fused Cell-Based,CPU,NeoN,32,gpu-nvidia-h200,6400
LDC_N10,1000,198,Cell-Based,CPU,NeoN,32,gpu-nvidia-h200,6400
LDC_N10,1000,169,Cell-Based,CPU,NeoN,32,gpu-nvidia-h200,6400
LDC_N10,1000,166,Cell-Based,CPU,NeoN,32,gpu-nvidia-h200,6400
LDC_N10,1000,301,Global Face-Based,CPU,NeoN,32,gpu-nvidia-h200,6400
LDC_N10,1000,171,Global Face-Based,CPU,NeoN,32,gpu-nvidia-h200,6400
LDC_N10,1000,169,Global Face-Based,CPU,NeoN,32,gpu-nvidia-h200,6400
LDC_N10,1000,498,Face-Based,CPU,JuNe,32,gpu-nvidia-h200,6400
LDC_N10,1000,189,Face-Based,CPU,JuNe,32,gpu-nvidia-h200,6400
LDC_N10,1000,184,Face-Based,CPU,JuNe,32,gpu-nvidia-h200,6400
LDC_N10,1000,235,Cell-Based,CPU,JuNe,32,gpu-nvidia-h200,6400
LDC_N10,1000,207,Cell-Based,CPU,JuNe,32,gpu-nvidia-h200,6400
LDC_N10,1000,203,Cell-Based,CPU,JuNe,32,gpu-nvidia-h200,6400
LDC_N10,1000,210,Global Face-Based,CPU,JuNe,32,gpu-nvidia-h200,6400
