case,cells,time_us,strategy,executor,julia_or_neon,threads,node,nnz
LDC_N10,1000.0,147.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N10,1000.0,108.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N10,1000.0,104.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N10,1000.0,445.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N10,1000.0,434.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N10,1000.0,427.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N10,1000.0,500.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N10,1000.0,436.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N10,1000.0,432.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N10,1000.0,478.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N10,1000.0,338.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N10,1000.0,322.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N10,1000.0,639.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N10,1000.0,609.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N10,1000.0,622.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N20,8000.0,145.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N20,8000.0,112.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N20,8000.0,109.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N20,8000.0,448.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N20,8000.0,439.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N20,8000.0,442.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N20,8000.0,512.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N20,8000.0,448.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N20,8000.0,440.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N20,8000.0,477.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N20,8000.0,333.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N20,8000.0,312.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N20,8000.0,641.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N20,8000.0,626.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N20,8000.0,621.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
