time_mean_ms,time_median_ms,gc_time_mean_ms,gc_time_median_ms,case_short,case_long,strategy,variant,language,precision,executor,use_kernelAbstractions,use_fusing
16.140498187096775,16.143815,0.0,0.0,cases/Wind/,cases/Wind/,batchedFace-Nosplit,WG64-32768,julia,float64,gpu,true,true
17.643389151408453,17.6502275,0.0,0.0,cases/Wind/,cases/Wind/,batchedFace-Nosplit,WG64-8192,julia,float64,gpu,true,true
15.424414963076924,15.431046,0.0,0.0,cases/Wind/,cases/Wind/,batchedFace-Nosplit,WG64-16384,julia,float64,gpu,true,true
17.634260514084506,17.6479485,0.0,0.0,cases/Wind/,cases/Wind/,batchedFace-Nosplit,WG128-8192,julia,float64,gpu,true,true
16.619728684385382,16.629298,0.0,0.0,cases/Wind/,cases/Wind/,batchedFace-Nosplit,WG128-32768,julia,float64,gpu,true,true
15.362848291411042,15.360666,0.0,0.0,cases/Wind/,cases/Wind/,batchedFace-Nosplit,WG128-16384,julia,float64,gpu,true,true
16.95210503728814,16.93726,0.0,0.0,cases/Wind/,cases/Wind/,batchedFace-Nosplit,WG32-8192,julia,float64,gpu,true,true
16.491523674342105,16.4940425,0.0,0.0,cases/Wind/,cases/Wind/,batchedFace-Nosplit,WG512-32768,julia,float64,gpu,true,true
15.79924465615142,15.800399,0.0,0.0,cases/Wind/,cases/Wind/,batchedFace-Nosplit,WG512-#faces,julia,float64,gpu,true,true
17.342812453287195,17.346229,0.0,0.0,cases/Wind/,cases/Wind/,batchedFace-Nosplit,WG512-8192,julia,float64,gpu,true,true
15.6660641375,15.670763,0.0,0.0,cases/Wind/,cases/Wind/,batchedFace-Nosplit,WG32-16384,julia,float64,gpu,true,true
16.21881934304207,16.247495,0.0,0.0,cases/Wind/,cases/Wind/,batchedFace-Nosplit,WG32-32768,julia,float64,gpu,true,true
21.99628005263158,21.771271,0.0,0.0,cases/Wind/,cases/Wind/,batchedFace-Nosplit,WG32-#faces,julia,float64,gpu,true,true
16.665916586666665,16.6826405,0.0,0.0,cases/Wind/,cases/Wind/,batchedFace-Nosplit,WG128-#faces,julia,float64,gpu,true,true
17.935360910394266,17.858151,0.0,0.0,cases/Wind/,cases/Wind/,batchedFace-Nosplit,WG64-#faces,julia,float64,gpu,true,true
16.223506181229773,16.226735,0.0,0.0,cases/Wind/,cases/Wind/,batchedFace-Nosplit,WG512-16384,julia,float64,gpu,true,true
time_mean_ms,time_median_ms,gc_time_mean_ms,gc_time_median_ms,case_short,case_long,strategy,variant,language,precision,executor,use_kernelAbstractions,use_fusing
30.858852438271605,30.905698,0.0,0.0,cases/Wind/,cases/Wind/,batchedFace-split,WG64-32768,julia,float64,gpu,true,true
65.60465132467532,65.447312,0.0,0.0,cases/Wind/,cases/Wind/,batchedFace-split,WG64-8192,julia,float64,gpu,true,true
41.865005475000004,41.8583805,0.0,0.0,cases/Wind/,cases/Wind/,batchedFace-split,WG64-16384,julia,float64,gpu,true,true
65.72443385714286,65.640881,0.0,0.0,cases/Wind/,cases/Wind/,batchedFace-split,WG128-8192,julia,float64,gpu,true,true
31.052891608695653,31.073192,0.0,0.0,cases/Wind/,cases/Wind/,batchedFace-split,WG128-32768,julia,float64,gpu,true,true
41.85307360833333,41.859008,0.0,0.0,cases/Wind/,cases/Wind/,batchedFace-split,WG128-16384,julia,float64,gpu,true,true
59.928194297619044,59.8214525,0.0,0.0,cases/Wind/,cases/Wind/,batchedFace-split,WG32-8192,julia,float64,gpu,true,true
31.41019603125,31.432719,0.0,0.0,cases/Wind/,cases/Wind/,batchedFace-split,WG512-32768,julia,float64,gpu,true,true
26.434614489473685,26.296918,0.0,0.0,cases/Wind/,cases/Wind/,batchedFace-split,WG512-#faces,julia,float64,gpu,true,true
65.83833143421053,65.6643115,0.0,0.0,cases/Wind/,cases/Wind/,batchedFace-split,WG512-8192,julia,float64,gpu,true,true
38.76247742635659,38.748447,0.0,0.0,cases/Wind/,cases/Wind/,batchedFace-split,WG32-16384,julia,float64,gpu,true,true
29.169586779069768,29.2020525,0.0,0.0,cases/Wind/,cases/Wind/,batchedFace-split,WG32-32768,julia,float64,gpu,true,true
29.523197452941176,29.338895,0.0,0.0,cases/Wind/,cases/Wind/,batchedFace-split,WG32-#faces,julia,float64,gpu,true,true
26.360606526315788,26.393367,0.0,0.0,cases/Wind/,cases/Wind/,batchedFace-split,WG128-#faces,julia,float64,gpu,true,true
26.629684026595744,26.639402,0.0,0.0,cases/Wind/,cases/Wind/,batchedFace-split,WG64-#faces,julia,float64,gpu,true,true
42.64587097457627,42.3936355,0.0,0.0,cases/Wind/,cases/Wind/,batchedFace-split,WG512-16384,julia,float64,gpu,true,true
