case,cells,time_us,strategy,executor,julia_or_neon,threads,node,nnz
DrivAer,65334765.0,132002.0,Cell-Based,GPU,NeoN,,gpu-nvidia-h200,447040000.0
DrivAer,65334765.0,232616.0,Face-Based,GPU,NeoN,,gpu-nvidia-h200,447040000.0
DrivAer,65334765.0,480937.0,Fused Cell-Based,GPU,NeoN,,gpu-nvidia-h200,460041233.0
DrivAer,65334765.0,206146.0,Global Face-Based,GPU,NeoN,,gpu-nvidia-h200,460041233.0
DrivAer,65334765.0,49690.0,Face-Based,GPU,JuNe,,gpu-nvidia-h200,447040000.0
DrivAer,65334765.0,51382.0,Cell-Based,GPU,JuNe,,gpu-nvidia-h200,447040000.0
DrivAer,65334765.0,52121.0,Global Face-Based,GPU,JuNe,,gpu-nvidia-h200,447040000.0
DrivAer,65334765.0,500259,Fused Face-Based,GPU,NeoN,,gpu-nvidia-h200,447040000.0

DrivAer,65334765.0,13672768.0,Cell-Based,CPU,NeoN,1.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,13717086.0,Cell-Based,CPU,NeoN,1.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,13696097.0,Cell-Based,CPU,NeoN,1.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,23327766.0,Face-Based,CPU,NeoN,1.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,23370432.0,Face-Based,CPU,NeoN,1.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,23416478.0,Face-Based,CPU,NeoN,1.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,23071709.0,Face-Based,CPU,JuNe,1.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,23187647.0,Face-Based,CPU,JuNe,1.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,23182571.0,Face-Based,CPU,JuNe,1.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,19374859.0,Cell-Based,CPU,JuNe,1.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,19385014.0,Cell-Based,CPU,JuNe,1.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,19374605.0,Cell-Based,CPU,JuNe,1.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,23154163.0,Global Face-Based,CPU,JuNe,1.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,23174984.0,Global Face-Based,CPU,JuNe,1.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,23212962.0,Global Face-Based,CPU,JuNe,1.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,8921406.0,Cell-Based,CPU,NeoN,2.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,9593288.0,Cell-Based,CPU,NeoN,2.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,9577388.0,Cell-Based,CPU,NeoN,2.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,20055654.0,Face-Based,CPU,NeoN,2.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,16607574.0,Face-Based,CPU,NeoN,2.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,15558231.0,Face-Based,CPU,NeoN,2.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,10273248.0,Face-Based,CPU,JuNe,2.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,10075730.0,Face-Based,CPU,JuNe,2.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,11398700.0,Face-Based,CPU,JuNe,2.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,7357827.0,Cell-Based,CPU,JuNe,2.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,9640211.0,Cell-Based,CPU,JuNe,2.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,6368402.0,Cell-Based,CPU,JuNe,2.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,11382335.0,Global Face-Based,CPU,JuNe,2.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,10913877.0,Global Face-Based,CPU,JuNe,2.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,11725688.0,Global Face-Based,CPU,JuNe,2.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,5119072.0,Cell-Based,CPU,NeoN,4.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,5692924.0,Cell-Based,CPU,NeoN,4.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,5534480.0,Cell-Based,CPU,NeoN,4.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,9756917.0,Face-Based,CPU,NeoN,4.0,gpu-nvidia-h100,460041233.0
