cells,time_s,nprocs
140,0.0387029,4
160,0.0084538,64
340,0.561798,4
300,0.231527,16
360,0.925146,2
70,0.000999785,32
200,0.0314204,32
90,0.0110794,4
240,0.17795,8
60,0.00658389,2
90,0.00273058,32
90,0.00335734,16
70,0.0182162,1
10,0.000118634,2
120,0.0356733,2
60,0.000970604,64
100,0.0471723,1
320,0.644298,2
300,0.534346,2
80,0.00235027,64
280,0.319753,4
340,1.73668,1
120,0.00722082,64
340,0.506217,8
50,0.000485217,64
340,0.778721,2
380,0.465064,16
220,0.211713,2
70,0.00858232,2
10,0.000198403,1
220,0.155594,4
400,0.545352,16
260,0.349936,2
40,0.000663052,8
50,0.00129551,8
120,0.0200163,8
280,0.178213,16
320,0.420298,8
400,1.26241,2
360,2.07243,1
260,0.0598064,64
140,0.00696621,128
30,0.000232319,16
40,0.000260879,128
50,0.00228758,4
70,0.00193228,16
100,0.0137512,4
320,1.45303,1
60,0.000828419,32
80,0.0245055,1
360,0.665837,4
80,0.00538897,8
320,0.151971,32
320,0.467488,4
20,0.000351423,128
140,0.0102431,32
90,0.0017586,128
160,0.0315404,16
160,0.0845505,2
280,0.983261,1
160,0.0162756,32
180,0.0474435,16
360,0.395654,16
20,0.000146311,8
80,0.000978856,128
180,0.0734879,8
140,0.129302,1
10,0.000135957,16
10,0.000177404,64
260,0.226971,8
260,0.25165,4
140,0.0340565,8
220,0.12998,8
220,0.482701,1
90,0.00775239,8
100,0.00397692,32
80,0.00285353,16
120,0.0238841,4
30,0.000313852,8
60,0.00082167,128
30,0.000168532,64
260,0.140678,16
10,0.000116179,4
40,0.00479362,1
80,0.00794838,4
260,0.0784964,32
180,0.0143775,128
100,0.0205335,2
70,0.00150707,64
240,0.200031,4
400,0.823878,8
340,0.148288,64
300,0.0459151,128
50,0.00756384,1
70,0.000914718,128
40,0.000213383,64
200,0.065937,16
10,0.000128867,8
100,0.0025054,128
20,0.000141835,16
320,0.279717,16
180,0.11993,2
200,0.100103,8
30,0.00088022,2
60,0.0120808,2
70,0.0263901,1
60,,64
40,0.00103523,8
60,,32
20,0.00016025,8
40,,64
20,0.00015807,16
60,0.00961204,2
70,0.0169775,1
60,0.00103573,64
10,0.000207996,1
10,0.000264193,128
50,0.000838492,16
10,0.000153161,32
70,0.00444758,8
40,0.000467893,16
30,0.000388874,128
50,0.00511483,2
50,0.000530358,32
50,0.000344103,128
70,0.00671769,4
30,0.000665824,4
30,0.000186807,32
340,0.331504,32
140,0.0625636,16
220,0.131306,128
300,0.261603,32
280,0.2352,32
140,0.117111,64
120,0.0282656,32
360,1.04817,8
220,0.130943,32
320,0.251802,64
240,0.169174,128
160,0.10264,8
240,0.259873,16
280,0.448772,8
380,0.363123,128
340,0.189406,128
200,0.205392,128
280,0.272733,64
200,0.280705,2
260,0.315952,128
160,0.103528,4
380,1.37197,8
280,0.757527,2
220,0.235669,64
360,0.235642,128
360,0.428383,32
180,0.204159,4
400,0.416513,64
300,0.728127,4
400,0.573241,32
200,0.114629,64
90,0.0292578,64
380,0.371981,64
240,0.15418,32
380,0.507238,32
90,0.0326704,2
340,0.57232,16
180,0.099009,32
160,0.145623,128
380,1.8129,2
400,0.254077,128
120,0.251217,128
280,0.222357,128
300,0.59123,8
400,2.24075,4
300,0.242867,64
180,0.181825,64
240,0.39057,2
100,0.0499739,8
360,0.353062,64
240,0.164725,64
100,0.106791,64
140,0.114255,2
220,0.194764,16
200,0.198983,4
120,0.0667979,16
380,1.43522,4
320,0.288661,128
100,0.0150881,16
