case,cells,time_us,strategy,executor,julia_or_neon,threads
/storage/home/lupeterm/NeoFOAM/build/develop/benchmarkSuite/julia/Cases/LDC_N10,1000.0,69249.0,Face-Based,CPU-Serial,NeoN + julia,
/storage/home/lupeterm/NeoFOAM/build/develop/benchmarkSuite/julia/Cases/LDC_N10,1000.0,857.0,Face-Based,CPU-Serial,NeoN + julia,
/storage/home/lupeterm/NeoFOAM/build/develop/benchmarkSuite/julia/Cases/LDC_N10,1000.0,534.0,Face-Based,CPU-Serial,NeoN + julia,
/storage/home/lupeterm/NeoFOAM/build/develop/benchmarkSuite/julia/Cases/LDC_N100,1000000.0,307254.0,Face-Based,CPU-Serial,NeoN + julia,
/storage/home/lupeterm/NeoFOAM/build/develop/benchmarkSuite/julia/Cases/LDC_N100,1000000.0,307231.0,Face-Based,CPU-Serial,NeoN + julia,
/storage/home/lupeterm/NeoFOAM/build/develop/benchmarkSuite/julia/Cases/LDC_N100,1000000.0,307192.0,Face-Based,CPU-Serial,NeoN + julia,
/storage/home/lupeterm/NeoFOAM/build/develop/benchmarkSuite/julia/Cases/LDC_N110,1331000.0,409403.0,Face-Based,CPU-Serial,NeoN + julia,
/storage/home/lupeterm/NeoFOAM/build/develop/benchmarkSuite/julia/Cases/LDC_N110,1331000.0,410102.0,Face-Based,CPU-Serial,NeoN + julia,
/storage/home/lupeterm/NeoFOAM/build/develop/benchmarkSuite/julia/Cases/LDC_N110,1331000.0,410048.0,Face-Based,CPU-Serial,NeoN + julia,
/storage/home/lupeterm/NeoFOAM/build/develop/benchmarkSuite/julia/Cases/LDC_N120,1728000.0,528969.0,Face-Based,CPU-Serial,NeoN + julia,
/storage/home/lupeterm/NeoFOAM/build/develop/benchmarkSuite/julia/Cases/LDC_N120,1728000.0,528746.0,Face-Based,CPU-Serial,NeoN + julia,
/storage/home/lupeterm/NeoFOAM/build/develop/benchmarkSuite/julia/Cases/LDC_N120,1728000.0,529916.0,Face-Based,CPU-Serial,NeoN + julia,
