cells,cell_dim,node,julia_or_neon,strategy,family,is_fused,bandwidth_gbs
1000,10,gpu-nvidia-h100,JuNe,Cell-Based,Cell-Based,False,0.2594664386134901
1000,10,gpu-nvidia-h100,JuNe,Face-Based,Face-Based,False,0.45238865543404483
1000,10,gpu-nvidia-h100,JuNe,Global Face-Based,Face-Based,False,0.3939253751186787
1000,10,gpu-nvidia-h100,NeoN,Cell-Based,Cell-Based,False,0.36394421341226185
1000,10,gpu-nvidia-h100,NeoN,Face-Based,Face-Based,False,0.34344369812702596
1000,10,gpu-nvidia-h100,NeoN,Fused Cell-Based,Cell-Based,True,1.302245095845454
1000,10,gpu-nvidia-h100,NeoN,Fused Face-Based,Face-Based,True,1.311220979937074
1000,10,gpu-nvidia-h100,NeoN,Global Face-Based,Face-Based,False,0.2918591507360077
1000,10,gpu-nvidia-h200,JuNe,Cell-Based,Cell-Based,False,0.2700577564893154
1000,10,gpu-nvidia-h200,JuNe,Face-Based,Face-Based,False,0.4857766570523537
1000,10,gpu-nvidia-h200,JuNe,Global Face-Based,Face-Based,False,0.48328721461401836
1000,10,gpu-nvidia-h200,NeoN,Cell-Based,Cell-Based,False,0.36973524416733256
1000,10,gpu-nvidia-h200,NeoN,Face-Based,Face-Based,False,0.35260449204224303
1000,10,gpu-nvidia-h200,NeoN,Fused Cell-Based,Cell-Based,True,1.6587439613526571
1000,10,gpu-nvidia-h200,NeoN,Fused Face-Based,Face-Based,True,1.3238944062473472
1000,10,gpu-nvidia-h200,NeoN,Global Face-Based,Face-Based,False,0.3700637297740223
8000,20,gpu-nvidia-h100,JuNe,Cell-Based,Cell-Based,False,2.1615148581747543
8000,20,gpu-nvidia-h100,JuNe,Face-Based,Face-Based,False,3.814667472821075
8000,20,gpu-nvidia-h100,JuNe,Global Face-Based,Face-Based,False,3.282959982591345
8000,20,gpu-nvidia-h100,NeoN,Cell-Based,Cell-Based,False,2.9772130002755812
8000,20,gpu-nvidia-h100,NeoN,Face-Based,Face-Based,False,2.8152495469646635
8000,20,gpu-nvidia-h100,NeoN,Fused Cell-Based,Cell-Based,True,10.205804493017608
8000,20,gpu-nvidia-h100,NeoN,Fused Face-Based,Face-Based,True,10.650751063122437
8000,20,gpu-nvidia-h100,NeoN,Global Face-Based,Face-Based,False,2.4138511349024814
8000,20,gpu-nvidia-h200,JuNe,Cell-Based,Cell-Based,False,2.269427886178183
8000,20,gpu-nvidia-h200,JuNe,Face-Based,Face-Based,False,4.024146851205082
8000,20,gpu-nvidia-h200,JuNe,Global Face-Based,Face-Based,False,4.011407852116332
8000,20,gpu-nvidia-h200,NeoN,Cell-Based,Cell-Based,False,3.074410548079109
8000,20,gpu-nvidia-h200,NeoN,Face-Based,Face-Based,False,2.8705566564364973
8000,20,gpu-nvidia-h200,NeoN,Fused Cell-Based,Cell-Based,True,13.688172043010752
8000,20,gpu-nvidia-h200,NeoN,Fused Face-Based,Face-Based,True,10.463323486566269
8000,20,gpu-nvidia-h200,NeoN,Global Face-Based,Face-Based,False,3.0888452453669846
27000,30,gpu-nvidia-h100,JuNe,Cell-Based,Cell-Based,False,7.400420121473665
27000,30,gpu-nvidia-h100,JuNe,Face-Based,Face-Based,False,12.725988241596411
27000,30,gpu-nvidia-h100,JuNe,Global Face-Based,Face-Based,False,8.575269601982132
27000,30,gpu-nvidia-h100,NeoN,Cell-Based,Cell-Based,False,9.791258368163605
27000,30,gpu-nvidia-h100,NeoN,Face-Based,Face-Based,False,8.619689287906482
27000,30,gpu-nvidia-h100,NeoN,Fused Cell-Based,Cell-Based,True,33.178642311886584
27000,30,gpu-nvidia-h100,NeoN,Fused Face-Based,Face-Based,True,31.28797166382941
27000,30,gpu-nvidia-h100,NeoN,Global Face-Based,Face-Based,False,7.612038822022509
27000,30,gpu-nvidia-h200,JuNe,Cell-Based,Cell-Based,False,7.633102690829214
27000,30,gpu-nvidia-h200,JuNe,Face-Based,Face-Based,False,13.767951197738432
27000,30,gpu-nvidia-h200,JuNe,Global Face-Based,Face-Based,False,13.212845951977384
27000,30,gpu-nvidia-h200,NeoN,Cell-Based,Cell-Based,False,10.07287024761528
27000,30,gpu-nvidia-h200,NeoN,Face-Based,Face-Based,False,8.856014814357904
27000,30,gpu-nvidia-h200,NeoN,Fused Cell-Based,Cell-Based,True,42.44072727272727
27000,30,gpu-nvidia-h200,NeoN,Fused Face-Based,Face-Based,True,32.27625885129819
27000,30,gpu-nvidia-h200,NeoN,Global Face-Based,Face-Based,False,9.492168849259128
64000,40,gpu-nvidia-h100,JuNe,Cell-Based,Cell-Based,False,9.780460492127782
