case,cells,time_us,strategy,executor,julia_or_neon,threads,node
,,,,,,,
,,,,,,,
,,,,,,,
LDC_N10,1000.0,1202.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N10,1000.0,1175.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N10,1000.0,1164.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N10,1000.0,1127.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N10,1000.0,1002.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N10,1000.0,1004.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N10,1000.0,531.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N10,1000.0,480.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N10,1000.0,476.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N10,1000.0,489.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N10,1000.0,471.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N10,1000.0,457.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
,,,,,,,
,,,,,,,
,,,,,,,
LDC_N20,8000.0,1226.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N20,8000.0,1208.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N20,8000.0,1185.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N20,8000.0,1133.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N20,8000.0,1012.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N20,8000.0,981.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N20,8000.0,556.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N20,8000.0,482.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N20,8000.0,485.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N20,8000.0,494.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N20,8000.0,469.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N20,8000.0,471.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
,,,,,,,
,,,,,,,
,,,,,,,
LDC_N30,27000.0,1672.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N30,27000.0,1515.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N30,27000.0,1498.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N30,27000.0,1170.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N30,27000.0,1049.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
